# kind	prefix	owner	reason	files
legacy_duplicate_prefix	101	in_transit+operations	Existing master collision before the registry; keep both files registered until a migration renumber is planned.	101_in_transit_goods_contract.sql,101_operations_competitor_watch_product_remove_confirmation.sql
legacy_duplicate_prefix	102	in_transit+operations	Existing master collision before the registry; keep both files registered until a migration renumber is planned.	102_in_transit_goods_batch.sql,102_operations_competitor_keyword_product_ignore_cleanup.sql
legacy_duplicate_prefix	103	in_transit+operations	Existing master collision before the registry; keep both files registered until a migration renumber is planned.	103_in_transit_goods_line.sql,103_operations_competitor_product_snapshot_change.sql
legacy_duplicate_prefix	104	in_transit+operations	Existing master collision before the registry; keep both files registered until a migration renumber is planned.	104_in_transit_logistics_node.sql,104_operations_competitor_rank_fact_channel_scan_depth.sql
legacy_duplicate_prefix	133	product_public_detail+product	Existing master collision before the registry; keep both files registered until a migration renumber is planned.	133_product_public_detail_snapshot.sql,133_product_variant_spec_source_storage_type_code.sql
legacy_duplicate_prefix	134	official_warehouse+procurement	Existing master collision before the registry; keep both files registered until a migration renumber is planned.	134_official_warehouse_asn.sql,134_procurement_purchase_order_fulfillment_type.sql
legacy_duplicate_prefix	135	product+warehouse_dispatch	Existing master collision before the registry; keep both files registered until a migration renumber is planned.	135_product_variant_spec_source_noon_partner_psku.sql,135_warehouse_shipping_recommendation_options.sql
legacy_duplicate_prefix	136	official_warehouse+warehouse_dispatch	Existing master collision before the registry; keep both files registered until a migration renumber is planned.	136_official_warehouse_appointment.sql,136_warehouse_shipping_evaluation_snapshot.sql
legacy_duplicate_prefix	137	forwarder_quote+official_warehouse	Existing master collision before the registry; keep both files registered until a migration renumber is planned.	137_forwarder_quote_et_ae_route_templates.sql,137_official_warehouse_asn_noon_updated_at.sql
legacy_duplicate_prefix	138	official_warehouse+warehouse_dispatch	Existing master collision before the registry; keep both files registered until a migration renumber is planned.	138_official_warehouse_appointment_gate_docks.sql,138_warehouse_dispatch_balance_new_product_flag.sql
